date,open,high,low,close
2024-07-04 00:00:00,1.07913,1.07935,1.07912,1.0793
2024-07-04 00:05:00,1.07929,1.07939,1.07916,1.07917
2024-07-04 00:10:00,1.07916,1.07918,1.07898,1.07911
2024-07-04 00:15:00,1.07912,1.07917,1.07908,1.07908
2024-07-04 00:20:00,1.07909,1.07909,1.07898,1.07901
2024-07-04 00:25:00,1.079,1.07901,1.07889,1.079
2024-07-04 00:30:00,1.079,1.0791,1.07897,1.07906
2024-07-04 00:35:00,1.07906,1.0791,1.07905,1.07907
2024-07-04 00:40:00,1.07908,1.07913,1.07902,1.07908
2024-07-04 00:45:00,1.07907,1.07911,1.07902,1.07906
2024-07-04 00:50:00,1.07907,1.07928,1.07906,1.07925
2024-07-04 00:55:00,1.07926,1.07933,1.07918,1.07926
2024-07-04 01:00:00,1.07926,1.07944,1.07926,1.07938
2024-07-04 01:05:00,1.07937,1.07952,1.0793,1.07932
2024-07-04 01:10:00,1.07932,1.07934,1.07916,1.07916
2024-07-04 01:15:00,1.07917,1.07922,1.07895,1.07897
2024-07-04 01:20:00,1.07898,1.07912,1.0789,1.07912
2024-07-04 01:25:00,1.07911,1.07914,1.07907,1.07914
2024-07-04 01:30:00,1.07914,1.07914,1.07896,1.07896
2024-07-04 01:35:00,1.07897,1.07907,1.07885,1.07907
2024-07-04 01:40:00,1.07906,1.07927,1.07902,1.07927
2024-07-04 01:45:00,1.07928,1.07932,1.07913,1.0792
2024-07-04 01:50:00,1.0792,1.0792,1.07902,1.07918
2024-07-04 01:55:00,1.07918,1.0792,1.07909,1.0791
2024-07-04 02:00:00,1.0791,1.07916,1.07902,1.07902
2024-07-04 02:05:00,1.07902,1.07905,1.0789,1.07891
2024-07-04 02:10:00,1.0789,1.07897,1.07888,1.07896
2024-07-04 02:15:00,1.07895,1.07897,1.07885,1.07886
2024-07-04 02:20:00,1.07885,1.07897,1.07885,1.07896
2024-07-04 02:25:00,1.07896,1.07896,1.0787,1.07871
2024-07-04 02:30:00,1.07871,1.07885,1.07871,1.07885
2024-07-04 02:35:00,1.07884,1.07885,1.07875,1.07876
2024-07-04 02:40:00,1.07875,1.07878,1.0787,1.07875
2024-07-04 02:45:00,1.07875,1.07882,1.07871,1.07881
2024-07-04 02:50:00,1.07881,1.07882,1.07874,1.07878
2024-07-04 02:55:00,1.07877,1.07884,1.07865,1.07865
2024-07-04 03:00:00,1.07866,1.07871,1.07857,1.07865
2024-07-04 03:05:00,1.07866,1.07875,1.07865,1.07871
2024-07-04 03:10:00,1.0787,1.07873,1.07864,1.07865
2024-07-04 03:15:00,1.07865,1.07866,1.0786,1.07865
2024-07-04 03:20:00,1.07865,1.07868,1.0786,1.0786
2024-07-04 03:25:00,1.0786,1.07868,1.0786,1.07864
2024-07-04 03:30:00,1.07864,1.07868,1.07856,1.07857
2024-07-04 03:35:00,1.07858,1.07866,1.07858,1.0786
2024-07-04 03:40:00,1.0786,1.07861,1.0785,1.0785
2024-07-04 03:45:00,1.07851,1.07855,1.07837,1.07845
2024-07-04 03:50:00,1.07845,1.07851,1.07838,1.07841
2024-07-04 03:55:00,1.0784,1.07856,1.07838,1.07853
